
> journey-lite@0.1.0 import:journeylite-blog
> tsx scripts/import-journeylite-blog-to-sanity.ts --create-drafts

[2026-05-21T17:47:44.821Z] Created draft: drafts.jl-blog-diabetes
[2026-05-21T17:47:46.296Z] Created draft: drafts.jl-blog-did-you-know-that-your-weight-loss-1-month-after-surgery-predicts-your-long-term-success
[2026-05-21T17:47:47.848Z] Created draft: drafts.jl-blog-digestion-hormones-and-hunger-understanding-the-science-behind-cravings-and-satiety
[2026-05-21T17:47:49.315Z] Created draft: drafts.jl-blog-do-i-have-coverage-for-saxenda
[2026-05-21T17:47:50.882Z] Created draft: drafts.jl-blog-do-i-have-coverage-for-weight-loss-surgery
[2026-05-21T17:47:52.357Z] Created draft: drafts.jl-blog-does-insurance-cover-weight-loss-surgery
[2026-05-21T17:47:53.930Z] Created draft: drafts.jl-blog-does-the-hcg-diet-work
[2026-05-21T17:47:55.384Z] Created draft: drafts.jl-blog-dr-james-augusta
[2026-05-21T17:47:56.899Z] Created draft: drafts.jl-blog-drug-shoppe
[2026-05-21T17:47:58.420Z] Created draft: drafts.jl-blog-dual-or-single-intra-gastric-balloons-reshape-vs-orbera
[2026-05-21T17:47:59.923Z] Created draft: drafts.jl-blog-eating-after-bariatric-surgery-avoiding-the-traffic-jam
[2026-05-21T17:48:01.437Z] Created draft: drafts.jl-blog-eating-vs-burning-calories-why-weight-loss-is-harder-than-it-looks
[2026-05-21T17:48:02.936Z] Created draft: drafts.jl-blog-eli-lillys-new-single-dose-zepbound-vials-a-more-cost-effective-solution-for-patients
[2026-05-21T17:48:04.466Z] Created draft: drafts.jl-blog-elipse-gastric-balloon
[2026-05-21T17:48:05.991Z] Created draft: drafts.jl-blog-end-of-schoolendlessly-busy-nights
[2026-05-21T17:48:07.562Z] Created draft: drafts.jl-blog-endoscopic-sleeve-gastroplasty-a-new-tool
[2026-05-21T17:48:08.980Z] Created draft: drafts.jl-blog-esg
[2026-05-21T17:48:10.496Z] Created draft: drafts.jl-blog-exercise-and-weight-loss-mindset
[2026-05-21T17:48:11.997Z] Created draft: drafts.jl-blog-expanded-columbus-office-hours
[2026-05-21T17:48:13.505Z] Created draft: drafts.jl-blog-fast-track-protein-pack-instructions
[2026-05-21T17:48:15.031Z] Created draft: drafts.jl-blog-fat-facts
[2026-05-21T17:48:16.514Z] Created draft: drafts.jl-blog-fatsecret-fitbit-partnerships
[2026-05-21T17:48:18.048Z] Created draft: drafts.jl-blog-fda-approves-2nd-weight-loss-medication-qnexa
[2026-05-21T17:48:19.621Z] Created draft: drafts.jl-blog-fda-clears-first-new-weight-loss-pill-in-13-years
[2026-05-21T17:48:21.068Z] Created draft: drafts.jl-blog-fda-removes-tirzepatide-from-shortage-list
[2026-05-21T17:48:22.546Z] Created draft: drafts.jl-blog-federal-employees-may-have-coverage-for-weight-loss-medications-qsymiabelviq
[2026-05-21T17:48:24.081Z] Created draft: drafts.jl-blog-fiber-and-weight-management
[2026-05-21T17:48:25.575Z] Created draft: drafts.jl-blog-fiber-facts
[2026-05-21T17:48:26.188Z] FAILED to import first-allurion-balloon-patients-us-results: Error: Mutation failed: Document by ID "drafts.jl-blog-first-allurion-balloon-patients-us-results" already exists (traceId: 66fbd808f1b14c97ecdcfd5bb9fbf24a):
- Document by ID "drafts.jl-blog-first-allurion-balloon-patients-us-results" already exists
[2026-05-21T17:48:26.961Z] FAILED to import first-allurion-balloon-us: Error: Mutation failed: Document by ID "drafts.jl-blog-first-allurion-balloon-us" already exists (traceId: 4313ce06e6e0b74371b7d084c0ac555a):
- Document by ID "drafts.jl-blog-first-allurion-balloon-us" already exists
[2026-05-21T17:48:28.601Z] Created draft: drafts.jl-blog-first-orbera-intra-gastric-balloon-in-ohio
[2026-05-21T17:48:30.134Z] Created draft: drafts.jl-blog-first-reshape-duo-dual-gastric-balloon-placement-in-ohio-by-dr-trace-curry
[2026-05-21T17:48:31.678Z] Created draft: drafts.jl-blog-first-stretta-in-cincinnati
[2026-05-21T17:48:33.129Z] Created draft: drafts.jl-blog-first-virtual-support-group
[2026-05-21T17:48:34.625Z] Created draft: drafts.jl-blog-fitbit-part-deux
[2026-05-21T17:48:36.164Z] Created draft: drafts.jl-blog-food-journaling
[2026-05-21T17:48:36.729Z] FAILED to import foundayo-vs-zepbound-cost-weight-loss-comparisonfoundayo-vs-zepbound-is-the-new-weight-loss-pill-better-than-the-shot: Error: Mutation failed: Document by ID "drafts.jl-blog-foundayo-vs-zepbound-cost-weight-loss-comparisonfoundayo-vs-zepbound-is-the-new-weight-loss-pill-better-than-the-" already exists (traceId: 7df1bed83fd996013d77d15600a27035):
- Document by ID "drafts.jl-blog-foundayo-vs-zepbound-cost-weight-loss-comparisonfoundayo-vs-zepbound-is-the-new-weight-loss-pill-better-than-the-" already exists
[2026-05-21T17:48:38.158Z] Created draft: drafts.jl-blog-foundayo-vs-zepbound-cost-weight-loss-comparisonfoundayo-vs-zepbound-is-the-new-weight-loss-pill
[2026-05-21T17:48:39.676Z] Created draft: drafts.jl-blog-free-november-sleeve-consult
